county_name,state,year,dem_margin,turnout,turnout_vpi,persuasion_vpi,county_vpi,partisanturnout_vpi
Bernalillo County,NM,2004,0.042,0.5911,1157.0427294289102,1672.4431408257371,2829.485870254647,48.59579463601423
Saint Louis County,MO,2008,0.19899999999999998,0.767,557.3436211031177,1834.7644776090744,2392.1080987121923,110.91138059952041
Hillsborough County,NH,2016,-0.002,0.6545,763.2022911449651,1446.068221291924,2209.270512436889,-1.5264045822899301
Rockingham County,NH,2016,-0.0583,0.7383,435.85289123619424,1229.3905985045094,1665.2434897407038,-25.410223559070122
Jackson County,MO,2008,0.2539,0.6831,515.8146948825992,1111.8491700702689,1627.663864952868,130.96535103069192
Wayne County,MI,2016,0.3734,0.5837,539.3844917469258,756.1638913416274,1295.5483830885532,201.40616921830213
Oakland County,MI,2016,0.0811,0.6801,303.9634228324338,646.0948275606544,950.0582503930882,24.651433591710383
Saint Louis City,MO,2008,0.6815,0.6079,335.7740841047718,520.6125443133787,856.3866284181505,228.830038317402
Merrimack County,NH,2016,0.0308,0.6848,259.2130773335912,563.0955866877683,822.3086640213595,7.983762781874608
Saint Charles County,MO,2008,-0.0974,0.7592,195.96462060307186,617.8509257755793,813.8155463786511,-19.0869540467392
Clark County,NV,2004,0.0485,0.4836,419.45253652625996,392.8240477907657,812.2765843170257,20.34344802152361
Clark County,NV,2016,0.1096,0.4527,443.65905041522996,366.92479574071666,810.5838461559466,48.625031925509205
Dona Ana County,NM,2004,0.0357,0.5151,379.83281942230326,403.5052120258192,783.3380314481225,13.560031653376228
Milwaukee County,WI,2004,0.2434,0.7217,197.97566774541707,513.2738764267378,711.249544172155,48.187277529234514
Strafford County,NH,2016,0.0856,0.659,241.35902785316648,466.45591225183387,707.8149401050003,20.66033278423105
Greene County,MO,2008,-0.1585,0.6661,222.88370204051975,444.7023077251629,667.5860097656827,-35.32706677342238
Macomb County,MI,2016,-0.1153,0.6148,255.38484244135952,407.6280582926527,663.0129007340123,-29.445872333488754
Santa Fe County,NM,2004,0.4321,0.6559999999999999,226.07623362615098,431.11757643817356,657.1938100643246,97.68754054985983
Hillsborough County,NH,2004,-0.0287,0.6764,205.819443541968,430.22126141075995,636.040704952728,-5.907018029654482
San Juan County,NM,2004,-0.3262,0.5327,257.0685077389798,293.09482847698547,550.1633362159653,-83.85574722445521
Sandoval County,NM,2004,-0.0271,0.5356,251.48742370563363,290.0470486314709,541.5344723371045,-6.815309182422671
Jefferson County,MO,2008,0.0252,0.6629999999999999,176.0882839926359,346.4152160048684,522.5034999975043,4.4374247566144245
Clay County,MO,2008,-0.0069,0.6937,158.58137712158083,359.20292671450096,517.7843038360818,-1.0942115021389076
Grafton County,NH,2016,0.1896,0.6738,166.48455132342227,343.87228659165424,510.3568379150765,31.56547093092086
Rockingham County,NH,2004,-0.0418,0.7205,135.6506721531294,349.62425791835955,485.274930071489,-5.670198096000808
Mecklenburg County,NC,2008,0.2437,0.7202,131.61630356333416,338.8325143878119,470.44881795114605,32.074893178384535
Kent County,MI,2016,-0.0308,0.6372,170.55727552565335,299.59659040729315,470.15386593294653,-5.253164086190123
Polk County,IA,2004,0.0463,0.6887,145.2474150709129,321.3836188664464,466.63103393735923,6.724955317783267
Wake County,NC,2008,0.1445,0.799,91.7605926439656,364.7536137147145,456.5142063586801,13.259405637053028
Cheshire County,NH,2016,0.1262,0.6652,142.00899617481545,282.1584814314161,424.1674776062315,17.92153531726171
Marion County,IN,2008,0.2838,0.6169,159.71131483015338,257.19041598365146,416.9017308138049,45.32607114879753
Honolulu County,HI,2004,0.0279,0.4672,202.99868941587917,178.01440962802684,381.01309904390604,5.663663434703029
Dane County,WI,2004,0.3307,0.7677,88.33250167663012,291.9003295816912,380.2328312583213,29.21155830446158
Boone County,MO,2008,0.1198,0.7418,97.2318270230875,279.38624441488537,376.61807143797284,11.648372877365883
